name,current_status,jurisdiction_code,current_alternative_legal_name,incorporation_date,registered_address_street_address,registered_address_region
"FLORA & SAUNA, INC.",Terminated,us_ca,,2016-06-01,"1300 CLAY ST, SUITE 600",CA
"SAUNABAR FRANCHISING, INC.",Terminated,us_ca,,2017-05-01,11677 SAN VICENTE BLVD 208,CA
"MOHAMED M. HAMMAMI, MD, INC.",Active,us_ca,,2017-10-11,511 W COLUMBUS ST,CA
FINNISH AMERICAN SAUNA,Suspended   Ftb,us_ca,,2018-02-27,410 NORTH STREET,CA
"ICHIBANYA INTERNATIONAL USA, INC.",Active,us_ca,,2020-04-02,"3625 DEL AMO BOULEVARD, SUITE 170",CA
COASTAL SAUNAS INC,Active,us_ca,,2020-06-25,1501 SAN ELIJO RD. STE 104-104,CA
"SHIRT SAUNA, INC.",Active,us_ca,,2020-07-27,8885 RIO SAN DIEGO DRIVE #237,CA
SOL SAUNA AND WELLNESS,Active,us_ca,,2021-03-10,6165 MAGNOLIA AVE #315,CA
THE BEAUTY METHODS - SAUNA BAR,Terminated,us_ca,,2021-06-19,1095 BIRD AVENUE #1,CA
MUHAMMAD HAMMAMI MD INC,Active,us_ca,,2022-09-19,"13768 ROSWELL AVE, STE 100",CA
Malibu Sauna and Steam Inc.,Active,us_ca,,2022-10-17,1278 GLENNEYRE #590,CA
BIG BEAR SAUNAS INC,Active,us_ca,,2022-11-10,11485 VENTURA BLVD,CA
Lamin Banya Corp,Active,us_ca,,2022-12-11,27080 AVENTURINE WAY,CA
Sauna Health TechnologyInc.,Active,us_ca,,2023-03-09,17800 CASTLETON ST STE 665,CA
THE SAUNA ROOM INC,Active,us_ca,,2023-05-09,1128 N HIGHLAND AVE,CA
The Sauna House Inc.,Active,us_ca,,2023-07-11,213 VALLEY ST APT B,CA
Evolve Plunge & Sauna,Active,us_ca,,2023-08-02,38513 NASTURTIUM WAY,CA
Pacific Sauna Company Inc.,Active,us_ca,,2023-08-02,"1516 E. EDINGER AVE., SUITE F.",CA
"SHAMMAM LAW FIRM, APC",Active,us_ca,,2023-10-06,"2221 CAMINO DEL RIO S, STE 207",CA
International Sauna Aid Foundation,Active,us_ca,,2024-01-21,"CA, United States",
"AAA STEAM & SAUNA, INC.",Delinquent,us_co,,1982-02-16,,
SHARAPOV SAUNA LLC,Voluntarily Dissolved,us_co,,2002-11-06,,
"SAN JUAN SAUNAS, LLC",Good Standing,us_co,,2002-12-17,,
AMERISAUNA INC.,Delinquent,us_co,,2003-09-12,,
"STOLICHNAYA SAUNA CLUBS, INC.",Administratively Dissolved,us_co,,2003-09-25,,
LuxSauna LLC,Voluntarily Dissolved,us_co,,2006-07-10,,
LuxSauna Inc.,Withdrawn,us_co,,2006-12-14,,
Sunlight Saunas of Colorado,Delinquent,us_co,,2007-05-03,,
global luxsauna inc,Delinquent,us_co,,2007-06-08,,
"Sauna Pros, LLC",Voluntarily Dissolved,us_co,,2007-06-15,,
Colorado Custom Saunas LLC,Delinquent,us_co,,2007-09-04,,
"White Glove Saunas, LLC",Delinquent,us_co,,2008-07-18,,
"Sunlight Sauna of The Rocky Mountains, Inc.",Delinquent,us_co,,2008-12-02,,
Rocky Mountain Saunas Inc,Good Standing,us_co,,2010-03-23,,
"Springs Sauna Company, LLC",Voluntarily Dissolved,us_co,,2010-04-05,,
Stone Sauna and Tan LLC,Delinquent,us_co,,2010-04-12,,
Denver Steam Sauna Showers,Delinquent,us_co,,2010-05-04,,
"HAVANA HEALTH SAUNA , LLC",Good Standing,us_co,,2010-07-20,,
Discount Saunas LLC,Delinquent,us_co,,2011-01-26,,
Sol Arc Sunrooms & Saunas LLC,Delinquent,us_co,,2011-03-31,,
"Sweat Equity Sauna Repair & Sales, LLC",Delinquent,us_co,,2011-05-20,,
SAUNA LLC,Delinquent,us_co,,2011-11-25,,
Just Relax Sauna LLC,Delinquent,us_co,,2011-12-19,,
Inner Health Sauna Suites LLC,Delinquent,us_co,,2012-01-27,,
Discount Commercial Saunas,Delinquent,us_co,,2012-06-08,,
RS Sauna LLC,Delinquent,us_co,,2013-03-23,,
CelebrationSaunas.com Inc.,Good Standing,us_co,,2013-10-21,,
"Discount Saunas, LLC",Delinquent,us_co,,2014-12-30,,
"Celebration Saunas, Inc.",Voluntarily Dissolved,us_co,,2015-02-24,,
Four Season Sauna and Massage Inc,Voluntarily Dissolved,us_co,,2015-03-23,,
A Town Pool Spa & Sauna LLC,Delinquent,us_co,,2015-08-13,,
Authentic Saunas LLC,Voluntarily Dissolved,us_co,,2016-01-01,,
"Denver Sauna, LLC",Voluntarily Dissolved,us_co,,2016-01-05,,
Sauna Solutions,Voluntarily Dissolved,us_co,,2016-10-02,,
Boulder Bathhouse LLC,Good Standing,us_co,,2017-04-19,,
"Salutaris Sauna Bar, LLC",Voluntarily Dissolved,us_co,,2017-05-12,,
Sauna Club 40 LLC,Voluntarily Dissolved,us_co,,2017-05-24,,
Solar-Sauna Int'l Ltd.,Delinquent,us_co,,2017-06-02,,
"Radiant Sauna Studio, Inc.",Voluntarily Dissolved,us_co,,2017-11-08,,
Fabulous Sauna Repair LLC,Delinquent,us_co,,2017-11-14,,
Pb Sauna LLC,Good Standing,us_co,,2018-03-19,,
Mama Sauna's LLC,Voluntarily Dissolved,us_co,,2018-08-26,,
LLC Sanctuary Massage and Sauna,Good Standing,us_co,,2018-09-16,,
"Sauna Works, Inc.",Good Standing,us_co,,2019-01-10,,
"The Spa and Sauna Co, LLC",Delinquent,us_co,,2019-03-27,,
VIP Sauna LLC,Delinquent,us_co,,2019-06-15,,
"Sauna Synergy, LLC",Good Standing,us_co,,2019-07-06,,
"Driftwood Sauna, LLC",Delinquent,us_co,,2019-07-08,,
Mobile Sauna Company LLC,Good Standing,us_co,,2019-11-20,,
High Country Saunas LLC,Good Standing,us_co,,2020-01-21,,
Silver Birch Sauna LLC,Good Standing,us_co,,2020-02-11,,
Quality Pool Spa & Sauna LLP,Delinquent,us_co,,2020-05-11,,
"Saunar Investments, LLC",Delinquent,us_co,,2020-05-18,,
Sauna America Inc.,Good Standing,us_co,,2020-06-25,,
Valkyrie Sauna LLC,Delinquent,us_co,,2020-09-25,,
Bathe Sauna,Good Standing,us_co,,2021-01-08,,
"Heat & Chill Mobile Saunas, Inc.",Voluntarily Dissolved,us_co,,2021-05-29,,
"Sounart Saunas, LLC",Good Standing,us_co,,2021-06-28,,
Ascent Sauna Haus Inc.,Delinquent,us_co,,2021-10-22,,
NORDIC SAUNAS HOLDINGS LLC,Delinquent,us_co,,2021-11-15,,
Denver Sauna LLC,Good Standing,us_co,,2022-01-03,,
Infrared Sauna Zone LLC,Voluntarily Dissolved,us_co,,2022-04-18,,
Hot Box Saunas LLC,Delinquent,us_co,,2022-04-27,,
Norra Dalen Nordic Sauna LLC,Good Standing,us_co,,2022-05-26,,
exa sauna LLC,Delinquent,us_co,,2022-06-09,,
Elevation Saunas LLC,Voluntarily Dissolved,us_co,,2022-06-14,,
True Sauna LLC,Good Standing,us_co,,2022-06-29,,
Sauna on Santa Fe LLC,Delinquent,us_co,,2022-08-25,,
Infrared Sauna Repair LLC,Delinquent,us_co,,2022-09-20,,
SmallCamp Saunas Llc,Good Standing,us_co,,2022-10-06,,
Hot Box Sauna LLC,Good Standing,us_co,,2022-12-21,,
The Steam Room Limited,Noncompliant,us_co,,2023-01-01,,
Sauna House Golden LLC,Noncompliant,us_co,,2023-01-19,,
Sauna Time LLC,Good Standing,us_co,,2023-01-24,,
Aiti Sauna Film LLC,Noncompliant,us_co,,2023-02-14,,
Roaring fork saunas LLC,Good Standing,us_co,,2023-03-14,,
SaunaTea LLC,Good Standing,us_co,,2023-03-16,,
Rocky Mountain Mobile Sauna LLC,Good Standing,us_co,,2023-03-25,,
Sauna Friend LLC,Good Standing,us_co,,2023-05-17,,
Colorado Sauna Rentals Ltd.,Good Standing,us_co,,2023-05-18,,
"Elite Sauna Co, LLC",Good Standing,us_co,,2023-05-24,,
Hammam global Seller LLC,Good Standing,us_co,,2023-06-21,,
Suomi Saunas Ltd.,Good Standing,us_co,,2023-07-03,,
Bathhouse LLC,Good Standing,us_co,,2023-07-02,,
Sisu Sauna Rentals LLC,Good Standing,us_co,,2023-09-12,,
Red Rock Sauna LLC,Good Standing,us_co,,2023-09-21,,
Red Rocks Sauna LLC,Good Standing,us_co,,2023-09-25,,
Sauna Onsite LLC,Good Standing,us_co,,2023-09-30,,
Sunshine Saunas LLC,Good Standing,us_co,,2023-10-15,,
Saunaones LLC,Good Standing,us_co,,2023-10-15,,
Dear Sauna LLC,Good Standing,us_co,,2023-11-12,,
SCHLAF SAUNA LLC,Good Standing,us_co,,2023-12-27,,
ReNude Saunas LLC,Good Standing,us_co,,2024-01-09,,
Salus Saunas LLC,Good Standing,us_co,,2024-01-18,,
Mobile Bathhouse LLC,Good Standing,us_co,,2024-01-23,,
Sauna Help You Out LLC,Good Standing,us_co,,2024-01-30,,
Loyly Saunas LLC,Good Standing,us_co,,2024-02-20,,
Colorado Sauna Society LLC,Good Standing,us_co,,2024-03-05,,
"On the Glo Sauna, LLC",Good Standing,us_co,,2024-03-19,,
"Sunhouse Sauna, LLC",Good Standing,us_co,,2024-03-21,,
Denver Mobile Sauna LLC,Good Standing,us_co,,2024-04-04,,
The Way Steam & Sauna LLC,Good Standing,us_co,,2024-04-23,,
Akka Sauna LLC,Good Standing,us_co,,2024-04-26,,
RUSSELL G. ANDERSON SAUNA CORP.,Revoked,us_ct,,1969-12-15,NONE,
"GALVIN POOL AND SAUNA, INCORPORATED",Dissolved,us_ct,,1964-03-31,NONE,
"SAUNA HEALTH, INCORPORATED",Forfeited,us_ct,,1976-02-25,NONE,
"SCANDJA SAUNA OF CONNECTICUT, INC.",Forfeited,us_ct,,1975-01-31,NONE,
CECIL ELLIS SAUNA & LEISURE CORP.,Forfeited,us_ct,,1982-01-05,NONE,
SCANDINAVIAN SAUNA AND LEISURE SPA INC.,Forfeited,us_ct,,1983-04-14,NONE,
"HELO SAUNA & FITNESS, INC.",Forfeited,us_ct,,1987-04-01,NONE,
WANNA SAUNA INC.,Dissolved,us_ct,,1987-05-27,NONE,
"SOUTHWIND SAUNA, INC.",Forfeited,us_ct,,1987-09-03,NONE,
"NORTH COUNTRY HOT TUBS AND SAUNAS, INC.",Forfeited,us_ct,,1989-01-30,NONE,
U.S. SAUNA AND STEAM CORP.,Forfeited,us_ct,,1996-01-04,NONE,
"AA PROFESSIONAL SAUNA & STEAM, LLC",Dissolved,us_ct,,1999-05-13,"40 CERRETTA ST., #13, STAMFORD, CT, 06907",
JAPANESE SAUNA INC.,Dissolved,us_ct,,2001-09-07,"4 GRELLA RD., BETHEL, CT, 06801",
BEST SAUNA ACCUPRESSURE INC.,Dissolved,us_ct,,2002-10-23,"309 SOUTH BROAD ST, MERIDEN, CT",
"A A PROFESSIONAL SAUNA & STEAM, INC.",Forfeited,us_ct,,2003-03-25,40 CERRETTA ST. #13,CT
WATERBURY SAUNA & SPA LLC,Forfeited,us_ct,,2003-04-24,"2154 EAST MAIN STREET, WATERBURY, CT, 06705",
"BEST SAUNA ACCUPRESSURE OF MERIDEN, INC.",Forfeited,us_ct,,2003-10-20,NONE,
"COUNTRY SAUNAS BY DESIGN, LLC",Active,us_ct,,2004-04-13,586 Hampton Rd,CT
OSAKE SAUNA LLC,Forfeited,us_ct,,2005-01-12,"628 S. COLONY RD, WALLINGFORD, CT, 06492",
"BALLY SAUNA, INC.",Forfeited,us_ct,,2005-04-05,NONE,
"BEST SAUNA, INC.",Dissolved,us_ct,,2005-11-01,NONE,
"PERSONAL SAUNA SOLUTIONS, LLC",Dissolved,us_ct,,2009-09-17,"4 FELLOWS STREET EXTENSION, PAWCATUCK, CT, 06379",
ESAUNA PAINTING LLC,Active,us_ct,,2012-09-17,245 PARK ST,CT
HAUTE SAUNA LLC,Active,us_ct,,2017-04-03,"792 PACIFIC ST, suite 3",CT
NEO SAUNA WORLD LLC,Dissolved,us_ct,,2019-10-07,652 ELM STREET,CT
"SAUNA WORKS, INC.",Active,us_ct,,2020-07-03,1077 Eastshore HWY,CA
BRING ME SAUNA LLC,Active,us_ct,,2021-02-16,31 STILLMAN AVENUE #1,CT
CT Mobile Sauna LLC,Active,us_ct,,2023-03-12,20 Ben Ct,CT
SUPERIOR SAUNAS USA LLC,Active,us_ct,,2023-05-15,296 NEWTOWN TURNPIKE,CT
HOTR Sauna LLC,Active,us_ct,,2023-06-25,57 Fennbrook Rd,CT
It Sauna Fire LLC,Active,us_ct,,2023-07-12,537 Main Street,CT
Maitland Banya LLC,Active,us_ct,,2023-07-10,160 Windermere Ave Apt 4002,CT
"Red Bathhouse, LLC",Active,us_ct,,2023-08-25,"461 Bank Street, P5",CT
THE SAUNA FLOAT LLC,Active,us_ct,,2024-01-05,75 LOUGHLIN AVE,CT
VIKING SAUNA CORPORATION-MID EASTERN DIVISION,Revoked,us_dc,,1968-06-24,,
ASAUNA MUSIC LLC,Revoked,us_dc,,2013-04-26,"1224 JEFFERSON ST. NW,",District of Columbia
Queen J's Bathhouse of oils salts and bombs LLC,Active,us_dc,,2023-01-05,"316 50th St NE, 33,",District of Columbia
SaunaHouse LLC,Active,us_dc,,2023-06-13,"1717 N Street NW, STE 1",District of Columbia
Eir Sauna LLC,Active,us_dc,,2024-03-12,"1420 N Capitol St NW, #201",District of Columbia
"LEISURE-TIME POOL AND SAUNA, INC.",,us_de,,1984-02-22,,
KLAFS-SAUNA CORPORATION,,us_de,,1986-01-20,,
"CYPRESS SPA & SAUNA COMPANY, INC.",,us_de,,1990-03-02,,
THE SAUNA PLACE INC.,,us_de,,2023-09-22,"Kent, DE",
DELAWARE POOL - SPA - SAUNA DISTRIBUTION NETWORK INC.,,us_de,,1994-06-01,,
WELLHOUSE LUXURY SAUNAS US INC.,,us_de,,2023-10-18,"New Castle, DE",
"NORTHERN LIGHTS SAUNA, LLC",,us_de,,1998-04-20,,
"SAUNA SOCIAL VENICE, LLC",,us_de,,2024-01-22,"New Castle, DE",
SAUNAS.COM LLC,,us_de,,2020-06-04,"New Castle, DE",
"SAUNA, LLC",,us_de,,2020-08-12,"New Castle, DE",
SAUNASTORE L.L.C.,,us_de,,2002-03-11,,
"SAUNAU, INC.",,us_de,,2004-05-07,,
SAUNAU REAL ESTATE LLC,,us_de,,2004-05-25,,
AM-FINN SAUNA COMPANY INC.,,us_de,,2005-08-25,,
SAUNA ACQUISITION LLC,,us_de,,2007-05-18,,
RADIANT HEALTH SAUNAS (US) INC.,,us_de,,2020-12-29,"Kent, DE",
"SAUNA WAREHOUSE, LLC",,us_de,,2013-02-27,,
"SAUNA HOLDINGS, LLC",,us_de,,2021-03-12,"Sussex, DE",
NORTHERN SAUNAS INC.,,us_de,,2021-03-31,"Kent, DE",
"SAUNA SENSATION HOLDINGS, LLC",,us_de,,2015-11-20,,
ONLINE SAUNA AND STEAM SALES INC.,,us_de,,2015-12-30,,
FIT SAUNAS LLC,,us_de,,2021-06-15,"New Castle, DE",
"ARTISAN PORTABLE SAUNAS, LLC",,us_de,,2021-07-21,"Sussex, DE",
ROLLINGSAUNA LLC,,us_de,,2016-10-19,,
SAUNAU REAL ESTATE LLC,,us_de,,,,
COZY HOME SAUNAS LLC,,us_de,,2022-01-10,"Kent, DE",
THE SUPERIOR SAUNA COMPANY LLC,,us_de,,2022-02-17,"Kent, DE",
"SAUNASHARE, INC.",,us_de,,2022-02-28,"New Castle, DE",
CASA SAUNA LLC,,us_de,,2022-05-02,"Kent, DE",
SOL SAUNA LLC,,us_de,,2022-08-11,"New Castle, DE",
SAUNA ROW LEGACY LLC,,us_de,,2019-04-17,,
"ARLISE IR SAUNA, LLC",,us_de,,2023-04-05,"Sussex, DE",
SAINT SAUNA CO.,,us_de,,2023-08-14,"New Castle, DE",
"BCPE SAUNA GP, LLC",,us_de,,2023-09-05,"New Castle, DE",
ATWATER POOL-SPA & SAUNA INC.,,us_de,,1981-03-16,,
HARBOR BEACH SAUNA & MASSAGE INC,Inactive,us_fl,,1963-01-22,,
SPASSOFF SAUNA CORPORATION OF FLORIDA,Inactive,us_fl,,1963-04-30,,
"SAUNA ROOMS OF FLORIDA, INC.",Inactive,us_fl,,1964-05-20,,
RELAX-A-SAUNA INC,Inactive,us_fl,,1965-02-22,,
VIKING-SAUNA OF FLORIDA INC,Inactive,us_fl,,1965-04-22,,
"SAUNA ROOMS OF AMERICA, INC.",Inactive,us_fl,,1965-07-07,,
SAUNA SUPPLY COMPANY,Inactive,us_fl,,1966-04-21,,
KEY SAUNA & MASSAGE SALON INC,Inactive,us_fl,,1966-09-06,,
UNITED-VIKING-SAUNA INC,Inactive,us_fl,,1967-04-27,,
MAGIC SAUNA CORP OF AMERICA,Inactive,us_fl,,1968-01-19,,
SAUNA INTERNATIONAL INC,Inactive,us_fl,,1968-10-22,,
INTERNATIONAL SAUNA CORPORATION,Inactive,us_fl,,1969-04-24,,
SAUNA UNIVERSAL OF FLORIDA INC,Inactive,us_fl,,1969-08-22,,
"SAUNA-GYMS, INC.",Inactive,us_fl,,1972-03-07,,
SAUNA THERAPY INC,Inactive,us_fl,,1972-11-30,,
CORAL SPRINGS SAUNA INC,Inactive,us_fl,,1973-02-07,,
"AM-FINN SAUNA OF FLORIDA, INC.",Inactive,us_fl,,1973-11-16,,
NORSE SAUNA AND RECREATION CORPORATION,Inactive,us_fl,,1975-06-01,,
"SUN SPA AND SAUNA , INC.",Inactive,us_fl,,1978-02-09,,
"SPA 'N SAUNA WORLD, INC.",Inactive,us_fl,,1978-09-21,,
"SEMINOLE SPAS & SAUNAS, INC.",Inactive,us_fl,,1979-02-28,,
"HOT TUB, SPA & SAUNA WORLD, INC.",Inactive,us_fl,,1980-01-08,,
"BRANDON SPA AND SAUNA SHOPPE, INC.",Inactive,us_fl,,1980-03-11,,
"CUSTOM BUILT SAUNAS & SPAS, INC.",Inactive,us_fl,,1980-05-19,,
"SAUNA SYSTEMS, INC.",Inactive,us_fl,,1980-07-21,,
GULFSTREAM SAUNA CORPORATION,Inactive,us_fl,,1981-08-11,,
"THE SAUNA CLUB, INC.",Inactive,us_fl,,1971-11-15,,
"SCAN-SAUNA, INC.",Inactive,us_fl,,1980-11-07,,
AM-FINN SAUNA COMPANY INC.,Inactive,us_fl,,2008-11-07,,
AM-FINN SAUNA COMPANY INC.,Inactive,us_fl,,2012-03-29,,
"SAUNA WORKS, INC.",Active,us_fl,,2022-01-28,,
"THE SAUNA CLUB, INC.",Inactive,us_fl,,1981-05-14,,
"SAUNAS + SPAS OF AMERICA, INC.",Inactive,us_fl,,1981-09-01,,
"CLASSIC TUB & SAUNA COMPANY, INC.",Inactive,us_fl,,1981-11-24,,
"DAYTONA SPAS AND SAUNA, INC.",Inactive,us_fl,,1982-08-17,,
"SPAS & SAUNAS, INC.",Inactive,us_fl,,1983-06-28,,
"TRADE WINDS SPA & SAUNA, INC.",Inactive,us_fl,,1984-02-24,,
"QUALITY SPAS & SAUNAS, INC.",Inactive,us_fl,,1984-03-16,,
"SAUNAS AND SPAS UNLIMITED, INC.",Inactive,us_fl,,1984-08-08,,
"SPA AND SAUNA DISTRIBUTORS OF FLORIDA, INC.",Inactive,us_fl,,1984-09-25,,
"SAUNA BUILDERS OF FLORIDA, INC.",Inactive,us_fl,,1987-01-28,,
"ST. LUCIE HOT TUBS, SPAS & SAUNAS, INC.",Inactive,us_fl,,1987-06-19,,
"THE ORIGINAL FINNISH SAUNA COMPANY, INC.",Inactive,us_fl,,1987-11-02,,
"HELO SAUNA & FITNESS OF FLORIDA, INC.",Inactive,us_fl,,1988-02-29,,
"ADVANCED SAUNA SYSTEMS, INC.",Inactive,us_fl,,1989-05-22,,
"CENTURY SAUNAS, LLC",Inactive,us_fl,,2003-11-14,,
"NEW STYLE SAUNA AND TANNING, LLC",Inactive,us_fl,,2005-04-29,,
"SAUNA ELITE, L.L.C.",Inactive,us_fl,,2006-07-19,,
DIVINE HEALTH INFRARED SAUNA'S LLC.,Inactive,us_fl,,2006-08-30,,
AMERICAN SAUNA LLC,Inactive,us_fl,,2006-10-13,,
"MELLO FINISH TRIM & SAUNA, LLC",Active,us_fl,,2008-01-04,,
"SAUNA DETOXIFICATION, LLC",Inactive,us_fl,,2008-01-17,,
"THE SAUNA HOUSE, LLC.",Inactive,us_fl,,2008-05-08,,
LA SAUNA BIJOU LLC,Inactive,us_fl,,2008-10-24,,
INFINITY SAUNAS LLC,Inactive,us_fl,,2008-11-18,,
"SERENITY SAUNAS, LLC.",Inactive,us_fl,,2011-12-13,,
FATHOMS STEAM ROOM & RAW BAR LLC,Active,us_fl,,2012-01-11,,
"FIND ME SAUNA, LLC",Inactive,us_fl,,2013-04-09,,
"JAPAN SAUNA, LLC",Active,us_fl,,2013-07-01,,
"APPLE SAUNA HOT STONE, LLC",Inactive,us_fl,,2013-11-25,,
"CHILL CRYOSAUNA OF ORLANDO, LLC",Active,us_fl,,2014-02-11,,
NEWLIFE INFRARED SAUNA LLC,Inactive,us_fl,,2014-05-15,,
STEAM AND SAUNA EXPERTS L.L.C,Active,us_fl,,2015-06-26,,
CHILL CRYOSAUNA FRANCHISE LLC,Inactive,us_fl,,2015-06-30,,
"SAUNA JEAN'S CARDS N'THINGS, LLC",Inactive,us_fl,,2015-11-17,,
SEOUL SAUNA LLC,Inactive,us_fl,,2016-02-08,,
SOFLO STEAM AND SAUNA LLC,Inactive,us_fl,,2018-04-19,,
CRYOSAUNA & RECOVERY LLC,Inactive,us_fl,,2018-07-19,,
SAUNASTORE L.L.C.,Active,us_fl,,2018-08-31,,
SAUNA WELLNESS LLC,Inactive,us_fl,,2018-09-10,,
SOLACE SAUNA STUDIOS LLC,Inactive,us_fl,,2019-04-19,,
CHILL CRYOSAUNA FRANCHISE LLC,Inactive,us_fl,,2020-02-05,,
KODAWARI KEIKEN SAUNA COMPANY LLC,Inactive,us_fl,,2021-01-19,,
"SAUNA ROOM, LLC",Inactive,us_fl,,2021-01-25,,
"SAUNA FITNESS-WELLINGTON, LLC",Active,us_fl,,2021-05-28,,
MERIT SAUNAS LLC,Active,us_fl,,2021-06-18,,
"SAUNA HOUSE, LLC",Inactive,us_fl,,2021-07-15,,
SAUNAS BY DESIGN LLC,Active,us_fl,,2022-02-02,,
THE SACRED BATHHOUSE LLC,Active,us_fl,,2022-02-07,,
"DRIP INFRARED SAUNA STUDIO, LLC",Active,us_fl,,2022-04-11,,
"HOT SAUNA FITNESS, LLC",Active,us_fl,,2022-06-07,,
FLOATING SAUNA RETREAT LLC,Inactive,us_fl,,2022-08-08,,
SAUNAKU LLC,Inactive,us_fl,,2022-08-15,,
"MARRAKECH HAMMAM AND SPA, LLC",Active,us_fl,,2022-10-04,,
SAUNA L.L.C.,Active,us_fl,,2022-10-07,,
SAUNA COLLECTIVE LLC,Active,us_fl,,2022-11-22,,
"THE SAUNA SPOT, LIMITED LIABILITY COMPANY",Inactive,us_fl,,2022-12-27,,
"NEARVANA SAUNA AND STEAM ROOM, LLC",Active,us_fl,,2023-01-17,,
"SAUNA N' CHILL, LLC",Active,us_fl,,2023-02-14,,
"FIRE AND ICE SAUNA, LLC",Active,us_fl,,2023-02-20,,
REVIVE SAUNA SUITES LLC,Active,us_fl,,2023-03-31,,
"CYCLADE SAUNAS, LLC",Active,us_fl,,2023-04-03,,
REVIVE COLD PLUNGE & SAUNA SPA LLC,Active,us_fl,,2023-05-10,,
HAMMAM DE BLEU LLC,Active,us_fl,,2023-05-10,,
THE STUDIO SAUNA LLC,Active,us_fl,,2023-05-15,,
"SOLACE SAUNAS OF SOUTHWEST FLORIDA, LLC",Active,us_fl,,2023-06-02,,
SAUNA SLO LLC,Active,us_fl,,2023-07-19,,
BATHHOUSE BABES LLC,Active,us_fl,,2023-07-21,,
SAUNA X LLC,Active,us_fl,,2023-08-04,,
THE PLUNGE & SAUNA METHOD LLC,Active,us_fl,,2023-09-19,,
"SAUNAWORLD, LLC.",Active,us_fl,,2023-09-25,,
"THE SAUNA GUYS, LLC",Active,us_fl,,2023-10-19,,
BLACK SAUNAA LLC,Active,us_fl,,2023-12-21,,
THE MOBILE SAUNA LLC,Active,us_fl,,2024-02-12,,
SAUNA & WELLNESS WELLINGTON LLC,Active,us_fl,,2024-02-13,,
OZONE SAUNA SRQ LLC,Active,us_fl,,2024-03-06,,
SAUNAS AND CELLARS LLC,Active,us_fl,,2024-04-03,,
STONE SAUNA SPA LLC,Active,us_fl,,2024-04-10,,
ORANGE INFRARED SAUNA & SPA LLC,Active,us_fl,,2021-04-27,,
EMBER & ICE MOBILE SAUNA LLC,Active,us_fl,,2024-05-06,,
REDWOOD HOT TUBS AND SAUNAS INC.,Inactive,us_fl,,1989-11-30,,
"INFRA-RED SAUNA SYSTEMS, INC.",Inactive,us_fl,,1990-02-05,,
AFFORDABLE SPA AND SAUNA INC.,Inactive,us_fl,,1990-07-02,,
CUSTOM SWEDISH SAUNAS INC.,Inactive,us_fl,,1985-02-28,,
SAUNA WAREHOUSE LLC,Inactive,us_fl,,2013-04-17,,
"SAUNA WAREHOUSE, LLC",Inactive,us_fl,,2015-10-23,,
"GOD'S BATHHOUSE OF VOLUSIA, INC.",Active,us_fl,,2015-04-13,,
"HEALTH SAUNAS OF FLORIDA, INC.",Inactive,us_fl,,2001-03-30,,
"ASAUNA, INC.",Inactive,us_fl,,2001-09-04,,
"SAUNAK, INC.",Inactive,us_fl,,2002-09-16,,
US SAUNA & STEAM CORP.,Inactive,us_fl,,2004-07-08,,
"ELENA'S HOUSE OF BEAUTY & SAUNAS, INC.",Inactive,us_fl,,2004-07-16,,
"SAUNA'S FAMILY FITNESS CLUB, INC",Inactive,us_fl,,2005-06-16,,
"SAUNA IMPORTERS, INC",Inactive,us_fl,,2005-12-19,,
"FLORIDA HOT TUB & SAUNA CENTER, INC.",Active,us_fl,,2006-01-31,,
"ONE SAUNA, INC.",Inactive,us_fl,,2006-06-21,,
CONTRACTOR'S CHOICE STEAMBATH & SAUNA INC.,Active,us_fl,,2006-06-29,,
"SAUNA STUDY, INC.",Inactive,us_fl,,2006-08-30,,
FLORIDA SAUNAS INC.,Inactive,us_fl,,2007-02-23,,
MICROSAUNA CORPORATION,Inactive,us_fl,,2008-02-01,,
"SAUNA HEALTH SYSTEMS, INC.",Inactive,us_fl,,2009-01-02,,
"VIP SAUNA, INC.",Inactive,us_fl,,2009-04-30,,
"SIGNATURE CUSTOM WINE CELLARS AND SAUNAS, INC.",Inactive,us_fl,,2010-04-30,,
IGLOO CRYOSAUNA INC.,Inactive,us_fl,,2011-02-18,,
BEYOND 2007 SAUNA INC,Inactive,us_fl,,2012-04-24,,
"APPLE SAUNA, INC.",Inactive,us_fl,,2012-10-25,,
CRU CUSTOM WINE CELLARS AND SAUNAS INC,Inactive,us_fl,,2013-07-26,,
"GOLD SAUNA, INC.",Inactive,us_fl,,2013-08-21,,
GC SAUNA SHOP INC,Active,us_fl,,2013-10-31,,
"SUNNY DAY SAUNAS, INC.",Inactive,us_fl,,2014-04-16,,
STEAM SHOWER SAUNA INC,Active,us_fl,,2014-09-17,,
CRU CUSTOM WINE CELLARS AND SAUNAS INC,Active,us_fl,,2014-09-26,,
"NEW OSAKA SPA AND SAUNA, INC",Inactive,us_fl,,2015-01-12,,
SAUNAS YOSIKA CORP,Active,us_fl,,2015-01-26,,
"INNOVATIVE SAUNAS & CELLARS, INC.",Active,us_fl,,2015-01-27,,
BEYOND 2005 SAUNA INC,Inactive,us_fl,,2015-06-01,,
"APOLLO CRYOSAUNA, INC.",Inactive,us_fl,,2015-07-20,,
ORANGE SAUNA SPA INC.,Inactive,us_fl,,2017-05-23,,
STAR SAUNA CORPORATION,Inactive,us_fl,,2018-06-25,,
